Team,Season,Result
Oklahoma City Thunder,2012,Lost Finals
Boston Celtics,2012,Conference Finals
San Antonio Spurs,2012,Conference Finals
Philadelphia 76ers,2012,Conference Semifinals
Indiana Pacers,2012,Conference Semifinals
Los Angeles Lakers,2012,Conference Semifinals
Los Angeles Clippers,2012,Conference Semifinals
Atlanta Hawks,2012,Conference First Round
Orlando Magic,2012,Conference First Round
New York Knicks,2012,Conference First Round
Chicago Bulls,2012,Conference First Round
Memphis Grizzlies,2012,Conference First Round
Denver Nuggets,2012,Conference First Round
Dallas Mavericks,2012,Conference First Round
Utah Jazz,2012,Conference First Round
Miami Heat,2013,Won Finals
San Antonio Spurs,2013,Lost Finals
Indiana Pacers,2013,Conference Finals
Memphis Grizzlies,2013,Conference Finals
New York Knicks,2013,Conference Semifinals
Chicago Bulls,2013,Conference Semifinals
Oklahoma City Thunder,2013,Conference Semifinals
Golden State Warriors,2013,Conference Semifinals
Brooklyn Nets,2013,Conference First Round
Atlanta Hawks,2013,Conference First Round
Milwaukee Bucks,2013,Conference First Round
Boston Celtics,2013,Conference First Round
Denver Nuggets,2013,Conference First Round
Los Angeles Clippers,2013,Conference First Round
Houston Rockets,2013,Conference First Round
Los Angeles Lakers,2013,Conference First Round
San Antonio Spurs,2014,Won Finals
Miami Heat,2014,Lost Finals
Indiana Pacers,2014,Conference Finals
Oklahoma City Thunder,2014,Conference Finals
Washington Wizards,2014,Conference Semifinals
Brooklyn Nets,2014,Conference Semifinals
Los Angeles Clippers,2014,Conference Semifinals
Portland Trail Blazers,2014,Conference Semifinals
Toronto Raptors,2014,Conference First Round
Atlanta Hawks,2014,Conference First Round
Charlotte Bobcats,2014,Conference First Round
Chicago Bulls,2014,Conference First Round
Golden State Warriors,2014,Conference First Round
Memphis Grizzlies,2014,Conference First Round
Houston Rockets,2014,Conference First Round
Dallas Mavericks,2014,Conference First Round
Golden State Warriors,2015,Won Finals
Cleveland Cavaliers,2015,Lost Finals
Atlanta Hawks,2015,Conference Finals
Houston Rockets,2015,Conference Finals
Washington Wizards,2015,Conference Semifinals
Chicago Bulls,2015,Conference Semifinals
Memphis Grizzlies,2015,Conference Semifinals
Los Angeles Clippers,2015,Conference Semifinals
Brooklyn Nets,2015,Conference First Round
Milwaukee Bucks,2015,Conference First Round
Boston Celtics,2015,Conference First Round
Toronto Raptors,2015,Conference First Round
New Orleans Pelicans,2015,Conference First Round
Dallas Mavericks,2015,Conference First Round
San Antonio Spurs,2015,Conference First Round
Portland Trail Blazers,2015,Conference First Round
Cleveland Cavaliers,2016,Won Finals
Golden State Warriors,2016,Lost Finals
Toronto Raptors,2016,Conference Finals
Oklahoma City Thunder,2016,Conference Finals
Atlanta Hawks,2016,Conference Semifinals
Miami Heat,2016,Conference Semifinals
Portland Trail Blazers,2016,Conference Semifinals
San Antonio Spurs,2016,Conference Semifinals
Boston Celtics,2016,Conference First Round
Detroit Pistons,2016,Conference First Round
Charlotte Hornets,2016,Conference First Round
Indiana Pacers,2016,Conference First Round
Houston Rockets,2016,Conference First Round
Dallas Mavericks,2016,Conference First Round
Los Angeles Clippers,2016,Conference First Round
Memphis Grizzlies,2016,Conference First Round
Golden State Warriors,2017,Won Finals
Cleveland Cavaliers,2017,Lost Finals
Boston Celtics,2017,Conference Finals
San Antonio Spurs,2017,Conference Finals
Washington Wizards,2017,Conference Semifinals
Toronto Raptors,2017,Conference Semifinals
Utah Jazz,2017,Conference Semifinals
Houston Rockets,2017,Conference Semifinals
Chicago Bulls,2017,Conference First Round
Indiana Pacers,2017,Conference First Round
Milwaukee Bucks,2017,Conference First Round
Atlanta Hawks,2017,Conference First Round
Portland Trail Blazers,2017,Conference First Round
Oklahoma City Thunder,2017,Conference First Round
Memphis Grizzlies,2017,Conference First Round
Los Angeles Clippers,2017,Conference First Round
Golden State Warriors,2018,Won Finals
Cleveland Cavaliers,2018,Lost Finals
Boston Celtics,2018,Conference Finals
Houston Rockets,2018,Conference Finals
Philadelphia 76ers,2018,Conference Semifinals
Toronto Raptors,2018,Conference Semifinals
New Orleans Pelicans,2018,Conference Semifinals
Utah Jazz,2018,Conference Semifinals
Milwaukee Bucks,2018,Conference First Round
Indiana Pacers,2018,Conference First Round
Miami Heat,2018,Conference First Round
Washington Wizards,2018,Conference First Round
San Antonio Spurs,2018,Conference First Round
Minnesota Timberwolves,2018,Conference First Round
Portland Trail Blazers,2018,Conference First Round
Oklahoma City Thunder,2018,Conference First Round
Toronto Raptors,2019,Won Finals
Golden State Warriors,2019,Lost Finals
Milwaukee Bucks,2019,Conference Finals
Portland Trail Blazers,2019,Conference Finals
Boston Celtics,2019,Conference Semifinals
Philadelphia 76ers,2019,Conference Semifinals
Houston Rockets,2019,Conference Semifinals
Denver Nuggets,2019,Conference Semifinals
Indiana Pacers,2019,Conference First Round
Detroit Pistons,2019,Conference First Round
Brooklyn Nets,2019,Conference First Round
Orlando Magic,2019,Conference First Round
San Antonio Spurs,2019,Conference First Round
Los Angeles Clippers,2019,Conference First Round
Utah Jazz,2019,Conference First Round
Oklahoma City Thunder,2019,Conference First Round
Los Angeles Lakers,2020,Won Finals
Miami Heat,2020,Lost Finals
Boston Celtics,2020,Conference Finals
Denver Nuggets,2020,Conference Finals
Toronto Raptors,2020,Conference Semifinals
Milwaukee Bucks,2020,Conference Semifinals
Los Angeles Clippers,2020,Conference Semifinals
Houston Rockets,2020,Conference Semifinals
Philadelphia 76ers,2020,Conference First Round
Indiana Pacers,2020,Conference First Round
Orlando Magic,2020,Conference First Round
Brooklyn Nets,2020,Conference First Round
Utah Jazz,2020,Conference First Round
Oklahoma City Thunder,2020,Conference First Round
Dallas Mavericks,2020,Conference First Round
Portland Trail Blazers,2020,Conference First Round
Milwaukee Bucks,2021,Won Finals
Phoenix Suns,2021,Lost Finals
Atlanta Hawks,2021,Conference Finals
Los Angeles Clippers,2021,Conference Finals
Philadelphia 76ers,2021,Conference Semifinals
Brooklyn Nets,2021,Conference Semifinals
Utah Jazz,2021,Conference Semifinals
Denver Nuggets,2021,Conference Semifinals
New York Knicks,2021,Conference First Round
Boston Celtics,2021,Conference First Round
Miami Heat,2021,Conference First Round
Washington Wizards,2021,Conference First Round
Portland Trail Blazers,2021,Conference First Round
Dallas Mavericks,2021,Conference First Round
Los Angeles Lakers,2021,Conference First Round
Memphis Grizzlies,2021,Conference First Round
Golden State Warriors,2022,Won Finals
Boston Celtics,2022,Lost Finals
Miami Heat,2022,Conference Finals
Dallas Mavericks,2022,Conference Finals
Milwaukee Bucks,2022,Conference Semifinals
Philadelphia 76ers,2022,Conference Semifinals
Phoenix Suns,2022,Conference Semifinals
Memphis Grizzlies,2022,Conference Semifinals
Brooklyn Nets,2022,Conference First Round
Atlanta Hawks,2022,Conference First Round
Chicago Bulls,2022,Conference First Round
Toronto Raptors,2022,Conference First Round
Utah Jazz,2022,Conference First Round
Denver Nuggets,2022,Conference First Round
Minnesota Timberwolves,2022,Conference First Round
New Orleans Pelicans,2022,Conference First Round
Denver Nuggets,2023,Won Finals
Miami Heat,2023,Lost Finals
Boston Celtics,2023,Conference Finals
Los Angeles Lakers,2023,Conference Finals
Philadelphia 76ers,2023,Conference Semifinals
New York Knicks,2023,Conference Semifinals
Phoenix Suns,2023,Conference Semifinals
Golden State Warriors,2023,Conference Semifinals
Atlanta Hawks,2023,Conference First Round
Milwaukee Bucks,2023,Conference First Round
Cleveland Cavaliers,2023,Conference First Round
Brooklyn Nets,2023,Conference First Round
Minnesota Timberwolves,2023,Conference First Round
Sacramento Kings,2023,Conference First Round
Memphis Grizzlies,2023,Conference First Round
Los Angeles Clippers,2023,Conference First Round
